n_bars,oos_start,oos_end,n_folds,n_traded,n_not_cointegrated,n_not_hedged,n_half_life,n_trades,win_rate,n_zscore_stops,n_loss_stops,n_time_stops,total_return,sharpe,psr,p_value,max_drawdown,time_in_market,median_net_exposure,median_spread_volatility,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,sharpe_frictionless,total_return_frictionless,mean_gross_pnl_bps,mean_cost_bps,pair,family,discovery
3774,2012-01-03,2024-12-31,26,2,22,2,0,7,0.2857142857142857,0,0,2,-0.009031992262534483,-0.13906873017487265,0.3094518563394026,0.6905481436605974,-0.015668201562839212,0.04159021406727829,0.0333299004419805,0.02904939195834891,-0.030324891364061274,-0.13906873017487265,-0.24220134340437738,-0.42283336643090846,-0.008946592261281226,-0.0007184005401557059,-1.0306961889964867,11.925811033793519,SMH/SOXX,semiconductors,False
3774,2012-01-03,2024-12-31,26,0,25,1,0,0,,0,0,0,0.0,,,,0.0,0.0,0.1459448765431242,,,,,,,0.0,,,SMH/XSD,semiconductors,False
3774,2012-01-03,2024-12-31,26,0,24,2,0,0,,0,0,0,0.0,,,,0.0,0.0,0.15392067061347234,,,,,,,0.0,,,SOXX/XSD,semiconductors,False
3774,2012-01-03,2024-12-31,26,1,24,1,0,2,0.5,0,0,1,-0.005779430412115372,-0.0554852275721656,0.42105751707828776,0.5789424829217122,-0.03249079561208701,0.01529051987767584,0.16126825857177934,0.07185100033727844,-0.03487233357602438,-0.0554852275721656,-0.07586982524172071,-0.11564525605299551,-0.02945206325377379,-0.00323168112097727,-16.00822867873329,12.747735158512372,ITB/XHB,homebuilders,False
3774,2012-01-03,2024-12-31,26,1,25,0,0,2,0.0,0,0,1,-0.011149682470281586,-0.38595953621641105,0.07535304308929747,0.9246469569107025,-0.01368367085539135,0.016819571865443424,0.10823765786580009,0.01640196232002139,-0.32921143481169346,-0.38595953621641105,-0.43233606631283955,-0.4975523390056501,-0.3077970801270512,-0.008509331441278634,-42.72730054956506,13.268674264666368,IYR/RWR,real_estate,False
3774,2012-01-03,2024-12-31,26,6,20,0,0,14,0.42857142857142855,1,0,3,-0.01573093603168929,-0.2997433269177407,0.1368952253960815,0.8631047746039184,-0.016409970788582195,0.07614678899082569,0.05816326572345393,0.01127327830074641,-0.031340333954165654,-0.2997433269177407,-0.5417102844661474,-0.901743526123059,0.01624141584566518,0.0007354615435610778,0.5303587585055639,11.84431561267851,IYR/VNQ,real_estate,False
3774,2012-01-03,2024-12-31,26,3,23,0,0,14,0.07142857142857142,0,0,1,-0.021376669926099545,-0.32503804793003227,0.11551828610128517,0.8844817138987149,-0.02160469978876467,0.05045871559633028,0.08196630892086681,0.010114842617670972,-0.11429843536572688,-0.32503804793003227,-0.5169863397840896,-0.8220731429316106,-0.08843305835628266,-0.005849403049712376,-4.208156495099024,11.229051016396975,RWR/VNQ,real_estate,False
3774,2012-01-03,2024-12-31,26,3,23,0,0,9,0.3333333333333333,0,0,2,-0.0027325269563239774,-0.09099387149827379,0.3718741565833298,0.6281258434166702,-0.009758689976372747,0.04862385321100918,0.050988989530994344,0.007738825921171242,0.22177360138535274,-0.09099387149827379,-0.3564116229554894,-0.6969593178559961,0.27698712710027074,0.007857284213295346,8.763082045531695,11.73951364531281,IDU/XLU,utilities,False
3774,2012-01-03,2024-12-31,26,3,22,1,0,6,0.3333333333333333,0,0,0,-0.008036015394697782,-0.3816218917628675,0.08621536128789742,0.9137846387121026,-0.008660541510696729,0.03486238532110092,0.056125041166102924,0.013901143074237784,-0.10160331823477689,-0.3816218917628675,-0.5949110678734123,-0.8174955935438228,-0.0419704541179991,-0.0008648381802180971,-1.4436425190040907,11.994969129948068,VDC/XLP,consumer_staples,False
3774,2012-01-03,2024-12-31,26,1,24,1,0,1,1.0,0,0,0,0.001986778935822109,0.16659804574910037,0.7514102141114346,0.2485897858885654,-0.0014980312274144314,0.003363914373088685,0.027190702519561266,0.01681422460898977,0.2598636199988944,0.16659804574910037,0.07646574702233364,-0.0649132482747798,0.2679142887487983,0.0030964324205442484,30.964324205442466,11.09653484722213,IYH/XLV,healthcare,False
